
 num     #instances         #bytes  class name
 112:           510          21832  [Ljava.lang.reflect.Field;
 113:           301          21672  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 114:           870          20880  java.util.Collections$UnmodifiableRandomAccessList
 115:           992          20648  [Lsun.reflect.generics.tree.FieldTypeSignature;
 116:           429          20592  java.util.logging.LogManager$LoggerWeakRef
 117:           635          20320  java.security.CodeSource
 118:           629          20128  java.util.Collections$UnmodifiableMap
 119:           626          20032  com.fasterxml.jackson.databind.introspect.AnnotatedField
 120:          1244          19904  java.lang.Integer
 121:           275          19800  com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl
 122:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
 123:           402          19296  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 124:           782          18768  com.sun.org.apache.xerces.internal.dom.AttributeMap
 125:          1168          18688  sun.reflect.DelegatingConstructorAccessorImpl
 126:          1144          18304  java.util.LinkedHashSet
 127:           553          17696  com.fasterxml.jackson.core.io.SerializedString
 128:           182          17472  java.util.jar.JarFile$JarFileEntry
 129:           271          17344  com.hazelcast.map.impl.PartitionContainer
 130:           540          17280  javax.management.MBeanAttributeInfo
 131:           306          17136  sun.nio.cs.UTF_8$Encoder
 132:          1070          17120  java.util.concurrent.ConcurrentHashMap$ValuesView
 133:          1052          16832  java.util.LinkedHashMap$LinkedValues
 134:           685          16440  java.lang.Class$AnnotationData
 135:           512          16384  [Lorg.jboss.netty.util.internal.ConcurrentIdentityHashMap$Segment;
 136:           681          16344  com.fasterxml.jackson.databind.PropertyName
 137:           129          16248  [Ljava.beans.MethodDescriptor;
 138:           494          15808  sun.security.util.ObjectIdentifier
 139:           981          15696  java.util.LinkedHashMap$LinkedKeySet
 140:           389          15560  sun.reflect.generics.repository.MethodRepository
 141:           972          15552  org.apache.ibatis.scripting.xmltags.StaticTextSqlNode
 142:           211          15192  java.util.logging.Logger
 143:           315          15120  java.util.TreeMap
 144:           471          15072  java.lang.ThreadLocal$ThreadLocalMap$Entry
